sku,image name,title,brand,product_type,length
331415R-701,,331415R-701 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-630,,331415R-630 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-683,,331415R-683 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-688,,331415R-688 - HP 20GB 4200RPM IDE / ATA 2.5-inch Hard Drive for Armada 4200 Series,HP,Laptop Hard Drive,11
331415R-715,,331415R-715 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-415,,331415R-415 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-462,,331415R-462 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-639,,331415R-639 - HP 6GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-690,,331415R-690 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-669,,331415R-669 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-650,,331415R-650 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-656,,331415R-656 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-662,,331415R-662 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-667,,331415R-667 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-671,,331415R-671 - HP 12GB 4200RPM IDE Ultra ATA-66 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-707,,331415R-707 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-420,,331415R-420 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-455,,331415R-455 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-459,,331415R-459 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-426,,331415R-426 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-427,,331415R-427 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-430,,331415R-430 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-405,,331415R-405 - HP 20GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
331415R-446,,331415R-446 - HP 30GB 4200RPM IDE Ultra ATA-100 2.5-inch Hard Drive,HP,Laptop Hard Drive,11
